date,county,state,fips,cases,deaths
3/3/2020,Wake,North Carolina,37183,1,0
3/4/2020,Wake,North Carolina,37183,1,0
3/5/2020,Wake,North Carolina,37183,1,0
3/6/2020,Chatham,North Carolina,37037,1,0
3/6/2020,Wake,North Carolina,37183,1,0
3/7/2020,Chatham,North Carolina,37037,1,0
3/7/2020,Wake,North Carolina,37183,1,0
3/8/2020,Chatham,North Carolina,37037,1,0
3/8/2020,Wake,North Carolina,37183,1,0
3/9/2020,Chatham,North Carolina,37037,1,0
3/9/2020,Wake,North Carolina,37183,6,0
3/10/2020,Chatham,North Carolina,37037,1,0
3/10/2020,Wake,North Carolina,37183,6,0
3/11/2020,Chatham,North Carolina,37037,1,0
3/11/2020,Wake,North Carolina,37183,7,0
3/12/2020,Cabarrus,North Carolina,37025,1,0
3/12/2020,Chatham,North Carolina,37037,1,0
3/12/2020,Forsyth,North Carolina,37067,2,0
3/12/2020,Johnston,North Carolina,37101,1,0
3/12/2020,Mecklenburg,North Carolina,37119,2,0
3/12/2020,Onslow,North Carolina,37133,1,0
3/12/2020,Wake,North Carolina,37183,8,0
3/13/2020,Cabarrus,North Carolina,37025,1,0
3/13/2020,Chatham,North Carolina,37037,1,0
3/13/2020,Forsyth,North Carolina,37067,2,0
3/13/2020,Johnston,North Carolina,37101,1,0
3/13/2020,Mecklenburg,North Carolina,37119,2,0
3/13/2020,Onslow,North Carolina,37133,1,0
3/13/2020,Wake,North Carolina,37183,9,0
3/13/2020,Wayne,North Carolina,37191,1,0
3/14/2020,Brunswick,North Carolina,37019,1,0
3/14/2020,Cabarrus,North Carolina,37025,1,0
3/14/2020,Chatham,North Carolina,37037,1,0
3/14/2020,Craven,North Carolina,37049,1,0
3/14/2020,Forsyth,North Carolina,37067,2,0
3/14/2020,Harnett,North Carolina,37085,2,0
3/14/2020,Johnston,North Carolina,37101,2,0
3/14/2020,Mecklenburg,North Carolina,37119,2,0
3/14/2020,Onslow,North Carolina,37133,1,0
3/14/2020,Wake,North Carolina,37183,11,0
3/14/2020,Wayne,North Carolina,37191,1,0
3/15/2020,Brunswick,North Carolina,37019,1,0
3/15/2020,Cabarrus,North Carolina,37025,1,0
3/15/2020,Chatham,North Carolina,37037,1,0
3/15/2020,Craven,North Carolina,37049,1,0
3/15/2020,Forsyth,North Carolina,37067,2,0
3/15/2020,Harnett,North Carolina,37085,2,0
3/15/2020,Johnston,North Carolina,37101,2,0
3/15/2020,Mecklenburg,North Carolina,37119,4,0
3/15/2020,Onslow,North Carolina,37133,1,0
3/15/2020,Wake,North Carolina,37183,14,0
3/15/2020,Watauga,North Carolina,37189,1,0
3/15/2020,Wayne,North Carolina,37191,1,0
3/15/2020,Wilson,North Carolina,37195,1,0
3/16/2020,Brunswick,North Carolina,37019,1,0
3/16/2020,Cabarrus,North Carolina,37025,1,0
3/16/2020,Chatham,North Carolina,37037,1,0
3/16/2020,Craven,North Carolina,37049,1,0
3/16/2020,Durham,North Carolina,37063,1,0
3/16/2020,Forsyth,North Carolina,37067,2,0
3/16/2020,Harnett,North Carolina,37085,2,0
3/16/2020,Johnston,North Carolina,37101,2,0
3/16/2020,Mecklenburg,North Carolina,37119,4,0
3/16/2020,Onslow,North Carolina,37133,1,0
3/16/2020,Wake,North Carolina,37183,15,0
3/16/2020,Watauga,North Carolina,37189,1,0
3/16/2020,Wayne,North Carolina,37191,1,0
3/16/2020,Wilson,North Carolina,37195,1,0
3/17/2020,Brunswick,North Carolina,37019,1,0
3/17/2020,Cabarrus,North Carolina,37025,1,0
3/17/2020,Chatham,North Carolina,37037,1,0
3/17/2020,Craven,North Carolina,37049,1,0
3/17/2020,Durham,North Carolina,37063,1,0
3/17/2020,Forsyth,North Carolina,37067,2,0
3/17/2020,Harnett,North Carolina,37085,3,0
3/17/2020,Iredell,North Carolina,37097,1,0
3/17/2020,Johnston,North Carolina,37101,2,0
3/17/2020,Mecklenburg,North Carolina,37119,7,0
3/17/2020,Onslow,North Carolina,37133,1,0
3/17/2020,Sampson,North Carolina,37163,1,0
3/17/2020,Wake,North Carolina,37183,17,0
3/17/2020,Watauga,North Carolina,37189,1,0
3/17/2020,Wayne,North Carolina,37191,1,0
3/17/2020,Wilson,North Carolina,37195,1,0
3/18/2020,Brunswick,North Carolina,37019,1,0
3/18/2020,Cabarrus,North Carolina,37025,1,0
3/18/2020,Chatham,North Carolina,37037,3,0
3/18/2020,Craven,North Carolina,37049,1,0
3/18/2020,Durham,North Carolina,37063,12,0
3/18/2020,Forsyth,North Carolina,37067,2,0
3/18/2020,Gaston,North Carolina,37071,1,0
3/18/2020,Guilford,North Carolina,37081,1,0
3/18/2020,Harnett,North Carolina,37085,4,0
